District,SQLTable,Category,Report,FileName,GitHubPath,RawURL
JD01,Ex_Sentencing_Felony Incarceration Differences by Defense Attorney Type,5. Sentencing,Felony Incarceration Differences by Defense Attorney Type,JD01 - Felony Incarceration Differences by Defense Attorney Type.csv,JD01/5. Sentencing/JD01 - Felony Incarceration Differences by Defense Attorney Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Felony%20Incarceration%20Differences%20by%20Defense%20Attorney%20Type.csv
JD01,Ex_Sentencing_Felony Incarceration Differences by Median Household Income,5. Sentencing,Felony Incarceration Differences by Median Household Income,JD01 - Felony Incarceration Differences by Median Household Income.csv,JD01/5. Sentencing/JD01 - Felony Incarceration Differences by Median Household Income.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Felony%20Incarceration%20Differences%20by%20Median%20Household%20Income.csv
JD01,Ex_Sentencing_Felony Sentences Imposed by Sentence Type,5. Sentencing,Felony Sentences Imposed by Sentence Type,JD01 - Felony Sentences Imposed by Sentence Type.csv,JD01/5. Sentencing/JD01 - Felony Sentences Imposed by Sentence Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Felony%20Sentences%20Imposed%20by%20Sentence%20Type.csv
JD01,Ex_Sentencing_Incarceration for Serious Offenses,5. Sentencing,Incarceration for Serious Offenses,JD01 - Incarceration for Serious Offenses.csv,JD01/5. Sentencing/JD01 - Incarceration for Serious Offenses.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Incarceration%20for%20Serious%20Offenses.csv
JD01,Ex_Sentencing_Misdemeanor Sentences Imposed by Sentence Type,5. Sentencing,Misdemeanor Sentences Imposed by Sentence Type,JD01 - Misdemeanor Sentences Imposed by Sentence Type.csv,JD01/5. Sentencing/JD01 - Misdemeanor Sentences Imposed by Sentence Type.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Misdemeanor%20Sentences%20Imposed%20by%20Sentence%20Type.csv
JD01,Ex_Sentencing_Pretrial Detention Differences by Defendant Race_Ethnicity,5. Sentencing,Pretrial Detention Differences by Defendant Race Ethnicity,JD01 - Pretrial Detention Differences by Defendant Race Ethnicity.csv,JD01/5. Sentencing/JD01 - Pretrial Detention Differences by Defendant Race Ethnicity.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Pretrial%20Detention%20Differences%20by%20Defendant%20Race%20Ethnicity.csv
JD01,Ex_Sentencing_Recidivism After Non-Incarcerative Sentences,5. Sentencing,Recidivism After Non-Incarcerative Sentences,JD01 - Recidivism After Non-Incarcerative Sentences.csv,JD01/5. Sentencing/JD01 - Recidivism After Non-Incarcerative Sentences.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Recidivism%20After%20Non-Incarcerative%20Sentences.csv
JD01,Ex_Sentencing_Reducing Pretrial Detention for Non-Traffic Cases,5. Sentencing,Reducing Pretrial Detention for Non-Traffic Cases,JD01 - Reducing Pretrial Detention for Non-Traffic Cases.csv,JD01/5. Sentencing/JD01 - Reducing Pretrial Detention for Non-Traffic Cases.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Reducing%20Pretrial%20Detention%20for%20Non-Traffic%20Cases.csv
JD01,Ex_Sentencing_Reserving Incarceration for Serious Offenses,5. Sentencing,Reserving Incarceration for Serious Offenses,JD01 - Reserving Incarceration for Serious Offenses.csv,JD01/5. Sentencing/JD01 - Reserving Incarceration for Serious Offenses.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Reserving%20Incarceration%20for%20Serious%20Offenses.csv
JD01,Ex_Sentencing_Sentences Imposed,5. Sentencing,Sentences Imposed,JD01 - Sentences Imposed.csv,JD01/5. Sentencing/JD01 - Sentences Imposed.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/5.%20Sentencing/JD01%20-%20Sentences%20Imposed.csv
JD01,"Ex_Defendant Characteristics_District Population, by Race_Ethnicity 2022 Census",6. Defendant Characteristics,"District Population, by Race Ethnicity 2022 Census","JD01 - District Population, by Race Ethnicity 2022 Census.csv","JD01/6. Defendant Characteristics/JD01 - District Population, by Race Ethnicity 2022 Census.csv",https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20District%20Population%2C%20by%20Race%20Ethnicity%202022%20Census.csv
JD01,Ex_Defendant Characteristics_Escalation in Criminal Behavior,6. Defendant Characteristics,Escalation in Criminal Behavior,JD01 - Escalation in Criminal Behavior.csv,JD01/6. Defendant Characteristics/JD01 - Escalation in Criminal Behavior.csv,https://raw.githubusercontent.com/CDACABRAHAM/external-dashboard-data/refs/heads/main/JD01/6.%20Defendant%20Characteristics/JD01%20-%20Escalation%20in%20Criminal%20Behavior.csv
